X,Y,ACC_T_DESC,RD_U_DESC,LGA_NAME,REGION_NAM
2490666.965,2404730.277,Struck Pedestrian,Pedestrians,HOBSONS BAY,METROPOLITAN NORTH WEST REGION
2482493.585,2411119.631,Collision with vehicle,Passengers,BRIMBANK,METROPOLITAN NORTH WEST REGION
2515059.159,2431069.484,Collision with a fixed object,Motorcyclists,NILLUMBIK,METROPOLITAN NORTH WEST REGION
2504301.296,2473221.96,Collision with a fixed object,Drivers,MITCHELL,NORTHERN REGION
2516933.332,2409373.185,Struck Pedestrian,Pedestrians,WHITEHORSE,METROPOLITAN SOUTH EAST REGION
2542674.8,2375686.012,Collision with vehicle,Drivers,CARDINIA,METROPOLITAN SOUTH EAST REGION
2497785.486,2416031.228,Struck Pedestrian,Pedestrians,MORELAND,METROPOLITAN NORTH WEST REGION
2521203.565,2369983.659,Collision with vehicle,Drivers,CASEY,METROPOLITAN SOUTH EAST REGION
2518126.593,2350909.49,No collision and no object struck,Motorcyclists,MORNINGTON PENINSULA,METROPOLITAN SOUTH EAST REGION
2482967.86,2407892.721,Collision with vehicle,Drivers,WYNDHAM,METROPOLITAN NORTH WEST REGION
2521071.302,2400314.906,Collision with vehicle,Motorcyclists,KNOX,METROPOLITAN SOUTH EAST REGION
2502478.375,2430396.64,Collision with vehicle,Drivers,WHITTLESEA,METROPOLITAN NORTH WEST REGION
2284360.174,2342728.058,Collision with some other object,Drivers,WARRNAMBOOL,SOUTH WESTERN REGION
2474478.477,2404541.08,Collision with vehicle,Motorcyclists,WYNDHAM,METROPOLITAN NORTH WEST REGION
2488532.027,2419035.958,Collision with vehicle,Drivers,MOONEE VALLEY,METROPOLITAN NORTH WEST REGION
2532510.204,2401664.2,Collision with vehicle,Passengers,YARRA RANGES,METROPOLITAN SOUTH EAST REGION
2532510.204,2401664.2,Collision with vehicle,Drivers,YARRA RANGES,METROPOLITAN SOUTH EAST REGION
2376925.869,2350430.19,Struck Pedestrian,Pedestrians,COLAC OTWAY,SOUTH WESTERN REGION
2188463.486,2358186.664,Collision with a fixed object,Drivers,GLENELG,SOUTH WESTERN REGION
2258189.285,2404322.492,Collision with a fixed object,Passengers,SOUTHERN GRAMPIANS,SOUTH WESTERN REGION
2559505.966,2612640.517,Collision with a fixed object,Drivers,MOIRA,NORTH EASTERN REGION
2394731.412,2543701.193,Collision with a fixed object,Drivers,LODDON,NORTHERN REGION
2632162.973,2594364.707,Collision with vehicle,Drivers,INDIGO,NORTH EASTERN REGION
2489886.228,2425665.953,Collision with vehicle,Passengers,HUME,METROPOLITAN NORTH WEST REGION
2489886.228,2425665.953,Collision with vehicle,Drivers,HUME,METROPOLITAN NORTH WEST REGION
2562338.764,2326926.91,Struck animal,Drivers,BASS COAST,EASTERN REGION
2521039.925,2337528.135,Collision with a fixed object,Drivers,BASS COAST,EASTERN REGION
2700435.933,2403420.576,Collision with a fixed object,Passengers,EAST GIPPSLAND,EASTERN REGION
2700435.933,2403420.576,Collision with a fixed object,Passengers,EAST GIPPSLAND,EASTERN REGION
2545350.741,2439640.148,Collision with a fixed object,Drivers,MURRINDINDI,NORTH EASTERN REGION
2698920.069,2558013.87,Collision with vehicle,Motorcyclists,TOWONG,NORTH EASTERN REGION
2511084.766,2410381.621,Struck Pedestrian,Pedestrians,WHITEHORSE,METROPOLITAN SOUTH EAST REGION
2483104.892,2409823.675,Collision with vehicle,Drivers,BRIMBANK,METROPOLITAN NORTH WEST REGION
2505891.045,2391554.786,Collision with a fixed object,Drivers,KINGSTON,METROPOLITAN SOUTH EAST REGION
2547857.493,2424627.117,Collision with a fixed object,Drivers,YARRA RANGES,METROPOLITAN SOUTH EAST REGION
2466075.591,2402918.634,Collision with vehicle,Drivers,WYNDHAM,METROPOLITAN NORTH WEST REGION
2484177.584,2413853.135,Collision with vehicle,Drivers,BRIMBANK,METROPOLITAN NORTH WEST REGION
2488915.662,2411541.677,Collision with vehicle,Bicyclists,MARIBYRNONG,METROPOLITAN NORTH WEST REGION
2425917.655,2462393.106,Collision with some other object,Passengers,HEPBURN,WESTERN REGION
2425917.655,2462393.106,Collision with some other object,Drivers,HEPBURN,WESTERN REGION
2667869.12,2570084.667,Collision with vehicle,Drivers,INDIGO,NORTH EASTERN REGION
2242926.612,2776638.409,Vehicle overturned (no collision),Drivers,MILDURA,WESTERN REGION
2502100.215,2445820.25,Collision with a fixed object,Drivers,WHITTLESEA,METROPOLITAN NORTH WEST REGION
2494428.152,2423049.418,Struck Pedestrian,Pedestrians,MORELAND,METROPOLITAN NORTH WEST REGION
2617911.907,2569331.038,Collision with vehicle,Drivers,WANGARATTA,NORTH EASTERN REGION
2670053.827,2597044.688,Vehicle overturned (no collision),Drivers,WODONGA,NORTH EASTERN REGION
2535330.434,2454335.545,Collision with vehicle,Drivers,MURRINDINDI,NORTH EASTERN REGION
